Combined_Key,Lat,Long_
"Coffee, Alabama, US",31.39932826,-85.98901039
"Coamo, Puerto Rico, US",18.097597,-66.36014
"Ellis, Oklahoma, US",36.2180194,-99.75324573
"Summers, West Virginia, US",37.65390597,-80.86009693
"Mitchell, Iowa, US",43.35638371,-92.78887719
"Gloucester, Virginia, US",37.40809042,-76.53524337
"Orange, California, US",33.70147516,-117.76459979999998
"Logan, Kentucky, US",36.85949479,-86.877635
"McKenzie, North Dakota, US",47.74133370000001,-103.395905
"Dane, Wisconsin, US",43.06601594,-89.41733797
"Montezuma, Colorado, US",37.33859579,-108.5958857
"Smith, Texas, US",32.37474036,-95.2717568
"Berkeley, West Virginia, US",39.46704621,-78.02414609
"Pointe Coupee, Louisiana, US",30.71409502,-91.60209535
"Ulster, New York, US",41.89027881,-74.26252104
"Marion, South Carolina, US",34.07859748,-79.36400756
"Isabela, Puerto Rico, US",18.44981,-67.005093
"Rogers, Oklahoma, US",36.37004357,-95.60406759
"Perry, Missouri, US",37.70660776,-89.82741088
"Randolph, North Carolina, US",35.71015088,-79.80570339
"Lawrence, Arkansas, US",36.04188196,-91.10867198
"Bell, Texas, US",31.03736027,-97.4785025
"Jerome, Idaho, US",42.68891267,-114.2655033
"Bolivar, Mississippi, US",33.79696941,-90.87372121
"Adams, Wisconsin, US",43.96974651,-89.76782777
"Lincoln, New Mexico, US",33.74526079,-105.4586166
"Duplin, North Carolina, US",34.93449805,-77.93140529
"Grady, Oklahoma, US",35.0167709,-97.88339847
"Atchison, Missouri, US",40.43238737,-95.42970639
"Monroe, Arkansas, US",34.6815935,-91.20540287
"Jackson, Missouri, US",39.01002188,-94.34724536
"Quebradillas, Puerto Rico, US",18.439692,-66.926113
"Greenlee, Arizona, US",33.21498827,-109.2405279
"Honolulu, Hawaii, US",21.45803166,-157.97121819999995
"Perkins, South Dakota, US",45.49049506,-102.4755586
"Hitchcock, Nebraska, US",40.17609175,-101.0416477
"Monroe, Mississippi, US",33.89236763,-88.4808438
"Richmond, Virginia, US",37.937575,-76.72920628
"Colusa, California, US",39.17881957,-122.2331726
"Dawson, Nebraska, US",40.87028216,-99.8201461
"Norton, Virginia, US",36.93357076,-82.62750411
"Sumner, Tennessee, US",36.46824103,-86.45917204
"Cedar, Iowa, US",41.77233777,-91.13246684
"Walker, Alabama, US",33.80270512,-87.30027177
"Crow Wing, Minnesota, US",46.48096553,-94.06755609
"Lake, Tennessee, US",36.34180170000001,-89.48921915
"Harrison, Indiana, US",38.19467379,-86.10948271
"New Hanover, North Carolina, US",34.25758282,-77.87075626
"Austin, Texas, US",29.88548725,-96.27736949
"Menominee, Michigan, US",45.58038692,-87.55370409
"Lafayette, Wisconsin, US",42.66005229,-90.1317729
"Lowndes, Georgia, US",30.83568832,-83.27056716
"Elk, Kansas, US",37.45338105,-96.24369667
"Duval, Florida, US",30.33225875,-81.66976468
"Hamilton, Ohio, US",39.19673558,-84.54502924
"Fluvanna, Virginia, US",37.84157909,-78.27715475
"Clinton, Kentucky, US",36.72581156,-85.13377529
"Hancock, Illinois, US",40.40423981,-91.16313899
"Vermilion, Illinois, US",40.18417171,-87.73384359
"Wayne, New York, US",43.15494365,-77.02976528
"Coryell, Texas, US",31.39078397,-97.79936155
"Gilliam, Oregon, US",45.37160076,-120.2048869
"Union, Indiana, US",39.62550777,-84.92497066
"Davidson, Tennessee, US",36.17007426,-86.78646056
"Foard, Texas, US",33.97308618,-99.7767797
"Greenville, South Carolina, US",34.89502264,-82.37295012
"Pasquotank, North Carolina, US",36.26723798,-76.25134778
"Fremont, Iowa, US",40.74542720000001,-95.60129045
"Fergus, Montana, US",47.26331584,-109.2245206
"Clark, Wisconsin, US",44.73483377,-90.61207486
"Stone, Arkansas, US",35.86251946,-92.15684085
"Mahoning, Ohio, US",41.01631101,-80.77287029
"Hamilton, Florida, US",30.49673973,-82.94998918
"Dewey, South Dakota, US",45.15639647,-100.8709139
"Glacier, Montana, US",48.70513576,-112.9934235
"Benton, Indiana, US",40.60626947,-87.31093999
"Covington, Virginia, US",37.7824656,-79.98631446
"Pickens, Alabama, US",33.28094866,-88.08818103
"Benton, Mississippi, US",34.81681228,-89.18945516
"Wilcox, Georgia, US",31.97496928,-83.43438555
"Jackson, Kentucky, US",37.41866422,-83.99825483
"Redwood, Minnesota, US",44.40555844,-95.25207021
"Wrangell, Alaska, US",56.3202004,-132.05837309999998
"Haines, Alaska, US",59.09893571,-135.4679843
"Gallia, Ohio, US",38.82708533,-82.31647569
"Morgan, Missouri, US",38.4181765,-92.88791859
"Miami, Indiana, US",40.76940965,-86.04525048
"San Francisco, California, US",37.75215114,-122.4385672
"Clackamas, Oregon, US",45.18787398,-122.2179634
"Garden, Nebraska, US",41.61703149,-102.3313973
"Robertson, Tennessee, US",36.52454807,-86.87346725
"Citrus, Florida, US",28.84804315,-82.47614748
"Monmouth, New Jersey, US",40.26549699,-74.22240686
"Pike, Mississippi, US",31.17507789,-90.40392572
"Gentry, Missouri, US",40.21097916,-94.40944419
"Madison, Georgia, US",34.12920917,-83.21218732
"Cole, Missouri, US",38.50455671,-92.27860244
"Gila, Arizona, US",33.80190085,-110.8132779
"Cass, Texas, US",33.07499881,-94.34646905
"Arecibo, Puerto Rico, US",18.406631,-66.675077
"Cumberland, Kentucky, US",36.78926125,-85.39050034
"Franklin, Louisiana, US",32.13675181,-91.67589857
"Worth, Missouri, US",40.47945588,-94.42328751
"Crook, Wyoming, US",44.58855102,-104.5697705
"Boone, Illinois, US",42.32359279,-88.82345779
"Yolo, California, US",38.68278902,-121.9018288
"Jackson, West Virginia, US",38.84263974,-81.68148753
"Roscommon, Michigan, US",44.33473082,-84.61067651
"Harper, Kansas, US",37.19175361,-98.07578384
"Metcalfe, Kentucky, US",36.99459295,-85.63123699
"Clark, Arkansas, US",34.04613432,-93.17484713
"Traill, North Dakota, US",47.45367788,-97.16323288
"Fredericksburg, Virginia, US",38.2977863,-77.4922454
"Louisa, Virginia, US",37.97850256,-77.96274807
"Mercer, New Jersey, US",40.28047017,-74.70479631
"Kitsap, Washington, US",47.63479026,-122.6436061
"Porter, Indiana, US",41.45986947,-87.06848888
"Seward, Nebraska, US",40.87241834,-97.139673
"Montmorency, Michigan, US",45.0275929,-84.12696227
"Milam, Texas, US",30.78581830000001,-96.97718698
"Blue Earth, Minnesota, US",44.03554215,-94.06699781
"Midland, Michigan, US",43.64330771,-84.38804374
"Scott, Mississippi, US",32.406704100000006,-89.53789439
"Sioux, North Dakota, US",46.11323337,-101.0440149
"Westmoreland, Pennsylvania, US",40.31377979999999,-79.46615476
"Fisher, Texas, US",32.74281316,-100.4019302
"Childress, Texas, US",34.529304100000004,-100.2077916
"Schuyler, Missouri, US",40.46921489,-92.52311943
"Crockett, Texas, US",30.72367027,-101.4134238
"Allegany, Maryland, US",39.62357628,-78.69280486
"Putnam, Georgia, US",33.32056115,-83.37552891
"Washburn, Wisconsin, US",45.89838588,-91.79050449
"Summit, Ohio, US",41.12464734,-81.53123079
"Manati, Puerto Rico, US",18.420473,-66.490461
"Jones, North Carolina, US",35.02254606,-77.35870791
"Gibson, Indiana, US",38.30393723,-87.58054938
"Pettis, Missouri, US",38.72798918,-93.28471706
"San Juan, Colorado, US",37.76248981,-107.67632890000002
"Sullivan, New Hampshire, US",43.36094111,-72.22203125
"Larue, Kentucky, US",37.54567114,-85.70138352
"Screven, Georgia, US",32.74976524,-81.60779441
"Dixon, Nebraska, US",42.49188363,-96.86782408
"Baraga, Michigan, US",46.6720582,-88.36363591
"Christian, Missouri, US",36.9711783,-93.18537118
"Morgan, Kentucky, US",37.92465657,-83.25558245
"Crenshaw, Alabama, US",31.72941803,-86.31593104
"Clay, Illinois, US",38.75388572,-88.48914513
"Berrien, Georgia, US",31.27590016,-83.22529920000002
"Ciales, Puerto Rico, US",18.28885,-66.516475
"Middlesex, New Jersey, US",40.43629879,-74.41426991
"Dubuque, Iowa, US",42.46815349,-90.88181925
"Washington, Mississippi, US",33.28392041,-90.94196237
"Santa Cruz, California, US",37.05580291,-122.0066524
"Carteret, North Carolina, US",34.8932941,-76.54120135
"York, Pennsylvania, US",39.9210089,-76.73040131
"Hancock, Georgia, US",33.2721566,-82.99766919
"Chester, Tennessee, US",35.42527478,-88.6095842
"Moore, Tennessee, US",35.27724699,-86.36230578
"Sweetwater, Wyoming, US",41.65943896,-108.8827882
"Grand Isle, Vermont, US",44.7975824,-73.29679772
"Union, Iowa, US",41.0277278,-94.24234847
"Perry, Tennessee, US",35.63708728,-87.86139634
"Jackson, Indiana, US",38.90915820000001,-86.03851889
"Columbia, Georgia, US",33.54534185,-82.263524
"Greenup, Kentucky, US",38.54332505,-82.9215658
"Jasper, Iowa, US",41.68576082,-93.05567785
"Russell, Alabama, US",32.28725256,-85.18415324
"Washington, Vermont, US",44.27343241,-72.61604978
"Douglas, Missouri, US",36.9325593,-92.49905109
"Kern, California, US",35.34329425,-118.7277796
"Hamlin, South Dakota, US",44.67385954,-97.18829593
"St. Johns, Florida, US",29.90096506,-81.43589967
"Catron, New Mexico, US",33.91514144,-108.4046587
"Roane, Tennessee, US",35.84923189,-84.52458689
"Burke, North Carolina, US",35.74989637,-81.70755735
"Quay, New Mexico, US",35.10403332,-103.5481727
"Juniata, Pennsylvania, US",40.53358749,-77.39975129999998
"Clay, North Carolina, US",35.05704275,-83.74353633
"Garfield, Nebraska, US",41.91428955,-98.99111827
"Kittitas, Washington, US",47.12521214,-120.679439
"Cass, Iowa, US",41.33149454,-94.92792482
"Lee, Georgia, US",31.779330600000005,-84.14324253
"Antrim, Michigan, US",44.99690221,-85.15503082
"Frio, Texas, US",28.86751206,-99.10804207
"Nicholas, West Virginia, US",38.29617706,-80.79759588
"Laurel, Kentucky, US",37.10975748,-84.11321779
"Hertford, North Carolina, US",36.3607755,-76.98104134
"Allendale, South Carolina, US",32.98837386,-81.35321066
"Warren, Kentucky, US",36.99903045,-86.42672751
"Potter, Texas, US",35.40133773,-101.893964
"Valley, Idaho, US",44.76728382,-115.5676773
"Garrard, Kentucky, US",37.6388668,-84.53289319
"Pulaski, Kentucky, US",37.10466131,-84.57629079
"Williamsburg, Virginia, US",37.28131268,-76.70905141
"Butler, Ohio, US",39.44012838,-84.57388716
"Todd, South Dakota, US",43.19338568,-100.7195503
"Pendleton, Kentucky, US",38.69607718,-84.35599463
"Nez Perce, Idaho, US",46.32638236,-116.7500975
"Hawkins, Tennessee, US",36.44355426,-82.94885298
"Yancey, North Carolina, US",35.90079156,-82.31237181
"Washington, Tennessee, US",36.29472368,-82.49454720000001
"Contra Costa, California, US",37.91923498,-121.9289527
"Ashtabula, Ohio, US",41.70860332,-80.74830218
"Rio Grande, Puerto Rico, US",18.346329,-65.813742
"Marshall, Indiana, US",41.32467367,-86.26185087
"Onondaga, New York, US",43.00491923,-76.19971155
"Allegan, Michigan, US",42.59147037,-85.89102866
"Cherokee, Texas, US",31.837258,-95.16559897
"Walker, Texas, US",30.73872995,-95.57440968
"Grand Forks, North Dakota, US",47.92093639,-97.45450447
"Steuben, Indiana, US",41.64423868,-85.00101094
"Union, Arkansas, US",33.16887091,-92.59746952
"Wharton, Texas, US",29.27765923,-96.22319248
"Appomattox, Virginia, US",37.37569884,-78.81340003
"Paulding, Ohio, US",41.11676341,-84.5801017
"La Crosse, Wisconsin, US",43.90632465,-91.11451093
"Luce, Michigan, US",46.47227431,-85.54471223
"Marinette, Wisconsin, US",45.38553432,-88.03324599999998
"Platte, Wyoming, US",42.13299116,-104.966331
"Pittsburg, Oklahoma, US",34.92065823,-95.7513432
"Washington, Oklahoma, US",36.71380786,-95.90514104
"St. Clair, Michigan, US",42.92655373,-82.67937954
"Washtenaw, Michigan, US",42.253105,-83.83853204
"Prairie, Arkansas, US",34.83624419,-91.55162157
"Harrison, Iowa, US",41.68330137,-95.81558439
"Nassau, Florida, US",30.61037141,-81.80297522
"Avery, North Carolina, US",36.07569796,-81.92308483
"Carroll, Kentucky, US",38.66599534,-85.12601074
"Autauga, Alabama, US",32.53952745,-86.64408227
"Daviess, Indiana, US",38.70186039,-87.07185406
"Inyo, California, US",36.51112084,-117.41119779999998
"Pondera, Montana, US",48.22773388,-112.2252703
"Montgomery, Georgia, US",32.17201038,-82.53527476
"Sullivan, Tennessee, US",36.51240691,-82.30412917
"Clinton, Missouri, US",39.6013098,-94.40465394
"Red Lake, Minnesota, US",47.87197525,-96.09561104
"Brazoria, Texas, US",29.18757369,-95.44563172
"Franklin, Arkansas, US",35.51202821,-93.89299569
"Washington, Texas, US",30.21498498,-96.40946246
"Morgan, Alabama, US",34.45500589,-86.85475946
"Marion, Arkansas, US",36.26844485,-92.68451899
"Hormigueros, Puerto Rico, US",18.134532,-67.113972
"Floyd, Texas, US",34.07227468,-101.3031546
"Union, Kentucky, US",37.66166713,-87.94300009
"San Sebastian, Puerto Rico, US",18.328646,-66.971214
"Winn, Louisiana, US",31.94449367,-92.63789413
"New Castle, Delaware, US",39.57992638,-75.64054974
"Lauderdale, Alabama, US",34.90171875,-87.65624729
